,precision,recall,f1-score,support
REMICAO-DE-PENA,0.06840579710144927,1.0,0.12805208898534998,236.0
HABEAS-CORPUS,0.25,0.0045871559633027525,0.009009009009009009,218.0
EXTINCAO-DE-PUNIBILIDADE,0.0,0.0,0.0,441.0
AGRAVO,0.0,0.0,0.0,12.0
APELACAO,0.0,0.0,0.0,15.0
REGISTRO-CIVIL,0.0,0.0,0.0,150.0
IMPUGNACAO,0.0,0.0,0.0,296.0
EMBARGOS,0.0,0.0,0.0,16.0
INDULTO-COMUTACAO,0.0,0.0,0.0,304.0
LIVRAMENTO-CONDICIONAL,0.0,0.0,0.0,26.0
INDENIZATORIAS,0.0,0.0,0.0,28.0
CUMPRIMENTO-DE-SETENCA,0.0,0.0,0.0,86.0
EXCECAO-DE-PRE-EXECUTIVIDADE,0.0,0.0,0.0,425.0
TRANSFERENCIA-DE-EXECUCAO,0.0,0.0,0.0,143.0
USUCAPIAO,0.0,0.0,0.0,170.0
OFICIOS,0.0,0.0,0.0,500.0
UNIFICACAO-DE-PENAS,0.0,0.0,0.0,26.0
INTIMACAO-NEGATIVA,0.0,0.0,0.0,147.0
DISSOLUCAO-DE-CONDOMINIO,0.0,0.0,0.0,19.0
PROGRESSAO-DE-REGIME,0.0,0.0,0.0,25.0
CONSIGNACAO-EM-PAGAMENTO,0.0,0.0,0.0,13.0
CONTRARRAZOES-AO-AGRAVO,0.0,0.0,0.0,85.0
SAIDA-TEMPORARIA,0.0,0.0,0.0,35.0
ALVARA-JUDICIAL-LIBERACAO-DE-CORPO,0.0,0.0,0.0,42.0
